SubjectName,kominato_yobi
Date,20241119
InputMethod,Pointing
Radius,400
All Task Orders:
2,7,3,8,4,9,5,1,6
8,3,7,2,6,1,5,9,4
1,5,9,4,8,3,7,2,6
6,1,5,9,4,8,3,7,2
3,8,4,9,5,1,6,2,7
4,9,5,1,6,2,7,3,8
9,5,1,6,2,7,3,8,4
1,6,2,7,3,8,4,9,5
7,2,6,1,5,9,4,8,3
2,6,1,5,9,4,8,3,7
5,9,4,8,3,7,2,6,1
3,7,2,6,1,5,9,4,8
4,9,5,1,6,2,7,3,8
7,2,6,1,5,9,4,8,3
2,6,1,5,9,4,8,3,7
9,4,8,3,7,2,6,1,5
2,7,3,8,4,9,5,1,6
8,4,9,5,1,6,2,7,3
9,5,1,6,2,7,3,8,4
6,1,5,9,4,8,3,7,2
1,5,9,4,8,3,7,2,6
8,3,7,2,6,1,5,9,4
8,4,9,5,1,6,2,7,3
9,4,8,3,7,2,6,1,5
4,8,3,7,2,6,1,5,9
5,9,4,8,3,7,2,6,1
4,8,3,7,2,6,1,5,9
1,6,2,7,3,8,4,9,5
3,8,4,9,5,1,6,2,7
7,3,8,4,9,5,1,6,2
5,1,6,2,7,3,8,4,9
6,2,7,3,8,4,9,5,1
7,3,8,4,9,5,1,6,2
5,1,6,2,7,3,8,4,9
3,7,2,6,1,5,9,4,8
6,2,7,3,8,4,9,5,1
