SubjectName,hayashi_yobi
Date,20241119
InputMethod,Touch
Radius,800
All Task Orders:
6,2,7,3,8,4,9,5,1
3,8,4,9,5,1,6,2,7
9,5,1,6,2,7,3,8,4
4,9,5,1,6,2,7,3,8
9,4,8,3,7,2,6,1,5
8,4,9,5,1,6,2,7,3
8,4,9,5,1,6,2,7,3
7,3,8,4,9,5,1,6,2
2,6,1,5,9,4,8,3,7
9,5,1,6,2,7,3,8,4
8,3,7,2,6,1,5,9,4
9,4,8,3,7,2,6,1,5
2,7,3,8,4,9,5,1,6
8,3,7,2,6,1,5,9,4
4,8,3,7,2,6,1,5,9
7,2,6,1,5,9,4,8,3
1,6,2,7,3,8,4,9,5
1,6,2,7,3,8,4,9,5
5,9,4,8,3,7,2,6,1
2,6,1,5,9,4,8,3,7
7,2,6,1,5,9,4,8,3
5,1,6,2,7,3,8,4,9
3,7,2,6,1,5,9,4,8
4,8,3,7,2,6,1,5,9
1,5,9,4,8,3,7,2,6
2,7,3,8,4,9,5,1,6
4,9,5,1,6,2,7,3,8
6,1,5,9,4,8,3,7,2
5,9,4,8,3,7,2,6,1
5,1,6,2,7,3,8,4,9
7,3,8,4,9,5,1,6,2
3,8,4,9,5,1,6,2,7
6,2,7,3,8,4,9,5,1
1,5,9,4,8,3,7,2,6
3,7,2,6,1,5,9,4,8
6,1,5,9,4,8,3,7,2
