SubjectName,sano_yobi
Date,20241119
InputMethod,Touch
Radius,800
All Task Orders:
1,6,2,7,3,8,4,9,5
4,9,5,1,6,2,7,3,8
9,4,8,3,7,2,6,1,5
6,1,5,9,4,8,3,7,2
1,6,2,7,3,8,4,9,5
1,5,9,4,8,3,7,2,6
4,8,3,7,2,6,1,5,9
3,8,4,9,5,1,6,2,7
2,7,3,8,4,9,5,1,6
5,9,4,8,3,7,2,6,1
2,7,3,8,4,9,5,1,6
8,3,7,2,6,1,5,9,4
6,2,7,3,8,4,9,5,1
4,9,5,1,6,2,7,3,8
6,1,5,9,4,8,3,7,2
3,7,2,6,1,5,9,4,8
8,4,9,5,1,6,2,7,3
9,5,1,6,2,7,3,8,4
5,9,4,8,3,7,2,6,1
7,3,8,4,9,5,1,6,2
9,5,1,6,2,7,3,8,4
3,7,2,6,1,5,9,4,8
4,8,3,7,2,6,1,5,9
9,4,8,3,7,2,6,1,5
5,1,6,2,7,3,8,4,9
2,6,1,5,9,4,8,3,7
5,1,6,2,7,3,8,4,9
8,3,7,2,6,1,5,9,4
7,3,8,4,9,5,1,6,2
2,6,1,5,9,4,8,3,7
1,5,9,4,8,3,7,2,6
3,8,4,9,5,1,6,2,7
8,4,9,5,1,6,2,7,3
6,2,7,3,8,4,9,5,1
7,2,6,1,5,9,4,8,3
7,2,6,1,5,9,4,8,3
