SubjectName,nakamura_yobi
Date,20241119
InputMethod,Pointing
Radius,800
All Task Orders:
8,4,9,5,1,6,2,7,3
7,3,8,4,9,5,1,6,2
7,3,8,4,9,5,1,6,2
4,9,5,1,6,2,7,3,8
1,5,9,4,8,3,7,2,6
6,2,7,3,8,4,9,5,1
9,5,1,6,2,7,3,8,4
2,7,3,8,4,9,5,1,6
1,6,2,7,3,8,4,9,5
2,6,1,5,9,4,8,3,7
6,1,5,9,4,8,3,7,2
3,8,4,9,5,1,6,2,7
9,4,8,3,7,2,6,1,5
3,7,2,6,1,5,9,4,8
5,9,4,8,3,7,2,6,1
5,9,4,8,3,7,2,6,1
9,5,1,6,2,7,3,8,4
2,6,1,5,9,4,8,3,7
8,3,7,2,6,1,5,9,4
5,1,6,2,7,3,8,4,9
2,7,3,8,4,9,5,1,6
4,8,3,7,2,6,1,5,9
6,2,7,3,8,4,9,5,1
1,6,2,7,3,8,4,9,5
8,3,7,2,6,1,5,9,4
6,1,5,9,4,8,3,7,2
9,4,8,3,7,2,6,1,5
1,5,9,4,8,3,7,2,6
7,2,6,1,5,9,4,8,3
5,1,6,2,7,3,8,4,9
7,2,6,1,5,9,4,8,3
3,7,2,6,1,5,9,4,8
3,8,4,9,5,1,6,2,7
4,8,3,7,2,6,1,5,9
8,4,9,5,1,6,2,7,3
4,9,5,1,6,2,7,3,8
