SubjectName,nakamura_yobi
Date,20241119
InputMethod,Touch
Radius,400
All Task Orders:
2,7,3,8,4,9,5,1,6
9,5,1,6,2,7,3,8,4
6,2,7,3,8,4,9,5,1
9,4,8,3,7,2,6,1,5
4,9,5,1,6,2,7,3,8
5,9,4,8,3,7,2,6,1
9,4,8,3,7,2,6,1,5
3,7,2,6,1,5,9,4,8
1,6,2,7,3,8,4,9,5
1,6,2,7,3,8,4,9,5
6,1,5,9,4,8,3,7,2
2,6,1,5,9,4,8,3,7
3,8,4,9,5,1,6,2,7
5,1,6,2,7,3,8,4,9
6,1,5,9,4,8,3,7,2
8,4,9,5,1,6,2,7,3
8,3,7,2,6,1,5,9,4
4,8,3,7,2,6,1,5,9
5,1,6,2,7,3,8,4,9
1,5,9,4,8,3,7,2,6
8,4,9,5,1,6,2,7,3
2,7,3,8,4,9,5,1,6
2,6,1,5,9,4,8,3,7
6,2,7,3,8,4,9,5,1
9,5,1,6,2,7,3,8,4
3,8,4,9,5,1,6,2,7
1,5,9,4,8,3,7,2,6
7,3,8,4,9,5,1,6,2
4,8,3,7,2,6,1,5,9
5,9,4,8,3,7,2,6,1
8,3,7,2,6,1,5,9,4
7,2,6,1,5,9,4,8,3
3,7,2,6,1,5,9,4,8
7,2,6,1,5,9,4,8,3
7,3,8,4,9,5,1,6,2
4,9,5,1,6,2,7,3,8
